"Date","Price","Open","High","Low","Vol.","Change %"
"08/13/2025","3,683.46","3,668.66","3,688.63","3,666.55","61.35B","0.48%"
"08/12/2025","3,665.92","3,647.96","3,669.04","3,647.96","53.66B","0.50%"
"08/11/2025","3,647.55","3,637.05","3,656.85","3,629.63","55.14B","0.34%"
"08/08/2025","3,635.13","3,634.85","3,645.37","3,625.45","52.64B","-0.12%"
"08/07/2025","3,639.67","3,637.78","3,645.12","3,622.52","53.55B","0.16%"
"08/06/2025","3,633.99","3,615.81","3,634.31","3,613.99","51.25B","0.45%"
"08/05/2025","3,617.60","3,588.81","3,617.60","3,586.97","49.98B","0.96%"
"08/04/2025","3,583.31","3,547.16","3,583.31","3,547.16","45.86B","0.66%"
"08/01/2025","3,559.95","3,568.26","3,581.75","3,550.04","50.96B","-0.37%"
"07/31/2025","3,573.21","3,604.70","3,606.37","3,562.61","65.45B","-1.18%"
"07/30/2025","3,615.72","3,608.35","3,636.17","3,593.73","63.72B","0.17%"
"07/29/2025","3,609.71","3,595.81","3,611.35","3,585.94","61.06B","0.33%"
"07/28/2025","3,597.94","3,594.23","3,606.27","3,582.15","59.42B","0.12%"
"07/25/2025","3,593.66","3,604.45","3,610.03","3,586.22","69.72B","-0.33%"
"07/24/2025","3,605.73","3,578.91","3,608.73","3,577.11","77.33B","0.65%"
"07/23/2025","3,582.30","3,588.88","3,613.02","3,577.59","76.77B","0.01%"
"07/22/2025","3,581.86","3,561.63","3,584.72","3,547.25","71.62B","0.62%"
"07/21/2025","3,559.79","3,542.82","3,560.63","3,542.57","63.36B","0.72%"
"07/18/2025","3,534.48","3,519.48","3,536.01","3,518.23","49.35B","0.50%"
"07/17/2025","3,516.83","3,500.37","3,517.28","3,499.19","47.22B","0.37%"
"07/16/2025","3,503.78","3,502.90","3,511.81","3,489.14","47.09B","-0.03%"
"07/15/2025","3,505.00","3,519.81","3,527.04","3,483.38","57.21B","-0.42%"
"07/14/2025","3,519.65","3,513.25","3,532.12","3,513.25","57.21B","0.27%"
"07/11/2025","3,510.18","3,511.37","3,555.22","3,506.80","66.42B","0.01%"
"07/10/2025","3,509.68","3,491.50","3,526.59","3,491.50","56.42B","0.48%"
"07/09/2025","3,493.05","3,498.72","3,512.67","3,491.20","52.39B","-0.13%"
"07/08/2025","3,497.48","3,474.63","3,499.89","3,474.63","49.35B","0.70%"
"07/07/2025","3,473.13","3,467.98","3,474.80","3,462.79","43.66B","0.02%"
"07/04/2025","3,472.32","3,459.59","3,497.22","3,455.49","50.02B","0.32%"
"07/03/2025","3,461.15","3,456.15","3,463.62","3,446.97","43.85B","0.18%"
"07/02/2025","3,454.79","3,458.17","3,461.33","3,447.96","49.81B","-0.09%"
"07/01/2025","3,457.75","3,445.85","3,459.59","3,441.04","44.44B","0.39%"
"06/30/2025","3,444.43","3,423.47","3,447.46","3,420.11","45.73B","0.59%"
"06/27/2025","3,424.23","3,450.69","3,462.63","3,421.04","52.31B","-0.70%"
"06/26/2025","3,448.45","3,451.72","3,462.75","3,446.19","49.65B","-0.22%"
"06/25/2025","3,455.97","3,419.09","3,459.01","3,417.41","50.94B","1.04%"
"06/24/2025","3,420.57","3,380.08","3,423.78","3,380.08","46.10B","1.15%"
"06/23/2025","3,381.58","3,349.46","3,389.45","3,347.65","38.46B","0.65%"
"06/20/2025","3,359.90","3,358.91","3,370.80","3,357.71","35.02B","-0.07%"
"06/19/2025","3,362.11","3,384.29","3,386.92","3,353.94","41.53B","-0.79%"
"06/18/2025","3,388.81","3,386.14","3,391.71","3,369.99","37.87B","0.04%"
"06/17/2025","3,387.40","3,388.18","3,393.31","3,376.42","39.00B","-0.04%"
"06/16/2025","3,388.73","3,369.37","3,389.76","3,368.88","40.54B","0.35%"
"06/13/2025","3,377.00","3,397.48","3,401.55","3,370.59","51.01B","-0.75%"
"06/12/2025","3,402.66","3,397.97","3,408.20","3,388.87","40.95B","0.01%"
"06/11/2025","3,402.32","3,385.46","3,413.51","3,385.46","42.41B","0.52%"
"06/10/2025","3,384.82","3,402.01","3,406.45","3,365.67","48.16B","-0.44%"
"06/09/2025","3,399.77","3,388.78","3,402.05","3,383.07","42.73B","0.43%"
"06/06/2025","3,385.36","3,384.29","3,391.45","3,379.76","38.01B","0.04%"
"06/05/2025","3,384.10","3,378.22","3,387.76","3,371.15","40.63B","0.23%"
"06/04/2025","3,376.20","3,363.39","3,379.64","3,363.39","38.65B","0.42%"
"06/03/2025","3,361.98","3,340.07","3,367.00","3,340.07","39.81B","0.43%"
"05/30/2025","3,347.49","3,358.81","3,361.28","3,341.65","38.56B","-0.47%"
"05/29/2025","3,363.45","3,340.40","3,368.63","3,337.42","39.32B","0.70%"
"05/28/2025","3,339.93","3,341.85","3,348.23","3,336.73","34.16B","-0.02%"
"05/27/2025","3,340.69","3,346.50","3,351.57","3,332.49","34.41B","-0.18%"
"05/26/2025","3,346.84","3,346.56","3,362.31","3,336.36","34.76B","-0.05%"
"05/23/2025","3,348.37","3,376.87","3,389.47","3,348.37","40.02B","-0.94%"
"05/22/2025","3,380.19","3,381.86","3,390.59","3,376.23","39.42B","-0.22%"
"05/21/2025","3,387.57","3,380.21","3,394.75","3,380.21","41.25B","0.21%"
"05/20/2025","3,380.48","3,371.69","3,387.80","3,369.96","40.55B","0.38%"
"05/19/2025","3,367.58","3,365.88","3,373.60","3,356.65","40.31B","0.00%"
"05/16/2025","3,367.46","3,374.71","3,380.29","3,356.66","39.54B","-0.40%"
"05/15/2025","3,380.82","3,398.43","3,402.87","3,378.02","42.41B","-0.68%"
"05/14/2025","3,403.95","3,374.24","3,417.31","3,368.08","46.49B","0.86%"
"05/13/2025","3,374.87","3,386.23","3,386.23","3,370.25","42.62B","0.17%"
"05/12/2025","3,369.24","3,352.97","3,372.47","3,344.27","41.82B","0.82%"
"05/09/2025","3,342.00","3,350.41","3,351.22","3,335.13","39.89B","-0.30%"
"05/08/2025","3,352.00","3,331.21","3,359.73","3,327.90","42.84B","0.28%"
"05/07/2025","3,342.67","3,354.97","3,356.69","3,324.81","51.12B","0.80%"
"05/06/2025","3,316.11","3,295.25","3,316.45","3,286.99","47.44B","1.13%"
"04/30/2025","3,279.03","3,284.08","3,292.20","3,277.55","43.58B","-0.23%"
